City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
344,Hattiesburg,US,84.0,clear sky,31.33,-89.29,Quality Inn & Suites
345,Cozumel,MX,84.0,few clouds,20.51,-86.95,Cozumel Palace® All Inclusive Resort
346,Sevierville,US,77.0,clear sky,35.87,-83.56,The Resort at Governor's Crossing
347,Charagua,BO,78.8,overcast clouds,-19.8,-63.22,Residencial Luismar
348,Katsuura,JP,79.0,broken clouds,35.13,140.3,Katsuura Hotel Mikazuki
351,Dhidhdhoo,MV,82.6,overcast clouds,6.88,73.1,Dhidhoo beach
353,Camargo,MX,77.9,clear sky,27.67,-105.17,Hotel Santa Fe
355,Plaridel,PH,82.99,few clouds,14.89,120.86,St. Agatha Resort
357,Akdepe,TM,80.6,clear sky,42.06,59.38,Мой дом
358,Jimo,CN,75.99,light rain,36.39,120.46,Thank Inn Chain Hotel Shandong Jimo Bus Station
360,Bambanglipuro,ID,75.63,clear sky,-7.95,110.28,Puri Brata
361,Port Hawkesbury,CA,79.0,clear sky,45.62,-61.35,Hearthstone Inn Port Hawkesbury
362,Vila Velha,BR,82.4,scattered clouds,-20.33,-40.29,Hotel Vitória Palace
363,Catuday,PH,82.26,overcast clouds,16.29,119.81,GResort
364,Lubango,AO,82.4,clear sky,-14.92,13.49,Hotel Serra da Chela
369,Tura,IN,76.32,broken clouds,25.52,90.22,Hotel RIKMAN Continental
371,Carmo Do Paranaiba,BR,87.01,scattered clouds,-19.0,-46.32,carmo do paranaiba
372,Nabire,ID,76.32,moderate rain,-3.37,135.48,Hotel Nusantara Nabire
377,Ramjibanpur,IN,82.62,broken clouds,22.83,87.62,Joy Guru Bhander
381,Bardiyah,LY,78.96,clear sky,31.76,25.09,بورتو بردية
383,Ocosingo,MX,77.04,overcast clouds,17.07,-92.25,HOTEL CHILUM BANAK CHAWUK
384,Markova,UA,75.2,clear sky,48.68,24.41,Kempinh
391,Sao Luiz Gonzaga,BR,80.82,clear sky,-28.41,-54.96,Xerife Hotel
392,Sundargarh,IN,81.48,overcast clouds,22.12,84.03,Sankara City
393,Los Llanos De Aridane,ES,82.0,few clouds,28.66,-17.92,Valle Aridane
394,Mandeville,JM,86.0,few clouds,18.04,-77.51,Mandeville Hotel
397,Westport,US,77.0,scattered clouds,41.14,-73.36,The Westport Inn
400,Tochio,JP,75.99,light rain,37.47,139.0,大倉割烹旅館
