City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
293,Madang,PG,-5.22,145.8,78.48,87,99,8.21,heavy intensity rain
294,Korla,CN,41.76,86.15,75.2,27,2,15.32,clear sky
295,Ornes,NO,66.87,13.71,51.01,86,99,5.01,overcast clouds
296,Srednekolymsk,RU,67.45,153.68,43.74,88,99,7.34,overcast clouds
297,Fairbanks,US,64.84,-147.72,48.2,87,90,4.34,light rain
298,Nichinan,JP,31.6,131.37,72.9,81,44,1.72,scattered clouds
299,Ryki,PL,51.63,21.93,72.0,41,12,6.62,few clouds
300,Cortland,US,42.6,-76.08,79.0,57,1,4.34,clear sky
301,Coihueco,CL,-36.62,-71.83,55.0,93,90,9.17,overcast clouds
302,Harper,LR,4.38,-7.72,77.11,84,95,12.62,overcast clouds
303,Aksu,CN,41.12,80.26,74.95,28,75,7.78,broken clouds
304,Phonhong,LA,18.5,102.42,78.1,91,98,2.1,overcast clouds
305,Inhambane,MZ,-23.86,35.38,77.0,61,40,6.93,scattered clouds
306,Graham,US,47.05,-122.29,60.01,81,1,1.48,clear sky
307,Male,MV,4.17,73.51,84.2,79,75,18.34,broken clouds
308,Chicago,US,41.85,-87.65,62.01,87,90,9.17,overcast clouds
309,Berbera,SO,10.44,45.01,89.42,54,6,2.13,clear sky
310,Zalantun,CN,48.0,122.72,56.28,72,95,12.93,overcast clouds
311,Puerto Escondido,MX,15.85,-97.07,86.04,63,54,4.09,broken clouds
312,Acarau,BR,-2.89,-40.12,89.78,42,46,20.76,scattered clouds
313,Turukhansk,RU,65.82,87.98,45.43,81,92,3.49,overcast clouds
314,Alofi,NU,-19.06,-169.92,71.6,100,100,12.75,overcast clouds
315,Constitucion,CL,-35.33,-72.42,58.5,73,46,5.79,scattered clouds
316,Garowe,SO,8.41,48.48,86.7,32,19,13.06,few clouds
317,Sulangan,PH,11.14,123.72,84.94,73,90,8.23,overcast clouds
318,Baykit,RU,61.67,96.37,43.52,84,38,0.6,scattered clouds
319,Souillac,MU,-20.52,57.52,71.6,73,40,17.22,scattered clouds
320,Narwana,IN,29.62,76.12,85.33,45,0,4.23,clear sky
321,Kushmurun,KZ,52.45,64.63,56.5,39,91,7.27,overcast clouds
322,Nishihara,JP,26.18,127.76,80.6,94,20,6.93,few clouds
323,Manavalakurichi,IN,8.13,77.3,82.4,88,75,9.17,drizzle
324,Lasa,IT,46.62,10.7,64.4,55,4,9.17,clear sky
325,Husavik,IS,66.04,-17.34,48.2,56,75,3.36,broken clouds
326,Novikovo,RU,51.15,37.89,61.93,61,40,11.48,scattered clouds
